state,response,coverage,education,employmentstatus,gender,location_code,marital_status,policy_type,policy,renew_offer_type,sales_channel,vehicle_class,vehicle_size
Washington,No,Basic,Bachelor,Employed,F,Suburban,Married,Corporate,L3,Offer1,Agent,Two-Door Car,Medsize
Arizona,No,Extended,Bachelor,Unemployed,F,Suburban,Single,Personal,L3,Offer3,Agent,Four-Door Car,Medsize
Nevada,No,Premium,Bachelor,Employed,F,Suburban,Married,Personal,L3,Offer1,Agent,Two-Door Car,Medsize
California,No,Basic,Bachelor,Unemployed,M,Suburban,Married,Corporate,L2,Offer1,Call Center,SUV,Medsize
Washington,No,Basic,Bachelor,Employed,M,Rural,Single,Personal,L1,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,Employed,F,Rural,Married,Personal,L3,Offer2,Web,Two-Door Car,Medsize
Oregon,Yes,Basic,College,Employed,F,Suburban,Married,Corporate,L3,Offer1,Agent,Four-Door Car,Medsize
Arizona,No,Premium,Master,Unemployed,M,Urban,Single,Corporate,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Corporate,L3,Offer1,Agent,Four-Door Car,Medsize
Oregon,No,Extended,College,Employed,F,Urban,Married,Special,L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Basic,College,Unemployed,M,Suburban,Single,Personal,L3,Offer1,Agent,Four-Door Car,Small
California,No,Basic,College,Unemployed,F,Suburban,Married,Personal,L3,Offer2,Agent,SUV,Medsize
California,No,Premium,Master,Employed,M,Urban,Married,Corporate,L1,Offer2,Agent,Four-Door Car,Medsize
Arizona,Yes,Basic,High School or Below,Employed,M,Suburban,Married,Corporate,L3,Offer2,Branch,SUV,Medsize
California,No,Basic,College,Employed,M,Urban,Single,Corporate,L3,Offer4,Call Center,Four-Door Car,Medsize
Oregon,No,Basic,Bachelor,Employed,F,Rural,Married,Corporate,L2,Offer2,Branch,Four-Door Car,Medsize
Nevada,No,Basic,High School or Below,Other,M,Suburban,Married,Personal,L3,Offer2,Call Center,Two-Door Car,Medsize
California,No,Basic,College,Other,M,Suburban,Married,Personal,L2,Offer3,Call Center,SUV,Medsize
Oregon,No,Basic,College,Employed,M,Urban,Married,Personal,L2,Offer2,Branch,Four-Door Car,Medsize
California,No,Premium,High School or Below,Employed,F,Suburban,Married,Corporate,L2,Offer1,Call Center,Four-Door Car,Small
Oregon,No,Basic,High School or Below,Employed,M,Suburban,Single,Personal,L2,Offer1,Branch,Two-Door Car,Medsize
Washington,No,Extended,Bachelor,Other,F,Suburban,Divorced,Personal,L3,Offer4,Call Center,Four-Door Car,Medsize
Arizona,Yes,Basic,Bachelor,Other,M,Suburban,Divorced,Personal,L3,Offer1,Agent,Four-Door Car,Medsize
Nevada,No,Basic,Bachelor,Unemployed,F,Suburban,Single,Corporate,L3,Offer1,Branch,Four-Door Car,Medsize
California,No,Basic,Bachelor,Other,F,Suburban,Married,Corporate,L2,Offer2,Branch,Four-Door Car,Medsize
